resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.4258336;0.5201599;0.5774524;0.5742161;100;5
0.4256959;0.5201056;0.5773414;0.5743322;100;5
0.4255675;0.5200414;0.577251;0.5744474;100;5
0.4254458;0.5199597;0.5771794;0.5745596;100;5
0.4253447;0.5198537;0.5771247;0.5746675;100;5
0.4252477;0.5197176;0.5770842;0.5747693;100;5
0.4251473;0.5195463;0.5770552;0.5748634;100;5
0.4250823;0.5193335;0.5770357;0.5749485;100;5
0.4250184;0.519073;0.5770226;0.5750236;100;5
0.424962;0.5187544;0.5770134;0.5750877;100;5
0.4249142;0.5183631;0.5770067;0.5751396;100;5
0.4248705;0.5179698;0.57583;0.5751789;100;5
0.424843;0.5173256;0.5769211;0.5752068;100;5
0.4248187;0.5164539;0.5767952;0.5752222;100;5
0.4248003;0.5154061;0.5764768;0.5752259;100;5
0.4247876;0.5146521;0.5767169;0.5752192;100;5
0.4247803;0.513674;0.5768866;0.5752029;100;5
0.4247771;0.5127308;0.5768033;0.5751787;100;5
0.4247788;0.5117888;0.5768842;0.575148;100;5
0.4247837;0.5110655;0.5768262;0.5751123;100;5
0.424792;0.5104197;0.576709;0.5750731;100;5
0.4248036;0.5099608;0.5766319;0.5750315;100;5
0.4248179;0.5096163;0.5765426;0.5749887;100;5
0.4248352;0.509361;0.5764403;0.5749453;100;5
0.4248551;0.5091724;0.5763248;0.5749014;100;5
0.4248776;0.509033;0.5761954;0.5748569;100;5
0.4249025;0.5089295;0.5760521;0.5748104;100;5
0.4249297;0.5088516;0.5758948;0.5747603;100;5
0.4249592;0.5087921;0.5757239;0.574704;100;5
0.4249906;0.508745;0.5755401;0.5746385;100;5
0.4244978;0.5087166;0.5755029;0.5745151;100;5
0.4252045;0.5086672;0.5751383;0.5744617;100;5
0.4252507;0.5086334;0.5749237;0.5743396;100;5
0.4252857;0.5085986;0.5747024;0.5741869;100;5
0.4251723;0.5085647;0.5744767;0.5739973;100;5
0.424995;0.5085235;0.5742486;0.5737653;100;5
0.4247094;0.5084826;0.574036;0.5730596;99;5
0.4290359;0.5034581;0.5795885;0.5688473;99;5
0.4290727;0.5033863;0.5793622;0.568471;99;5
0.4291086;0.5033016;0.5791395;0.5680582;99;5
0.4291438;0.5032024;0.5789213;0.567625;99;5
0.4291783;0.5030866;0.5787078;0.567194;99;5
0.4292118;0.5029529;0.5784986;0.5667916;99;5
0.4292447;0.5027995;0.578294;0.5664429;99;5
0.4292768;0.5026246;0.5780929;0.5661672;99;5
0.4293086;0.5024268;0.5778953;0.5659738;99;5
0.42934;0.5022051;0.5777007;0.5658623;99;5
0.4293718;0.5019586;0.5775086;0.5658243;99;5
0.4294041;0.5016863;0.5773191;0.5658467;99;5
0.4294376;0.5013884;0.5771322;0.5659152;99;5
0.4294733;0.5010649;0.5769482;0.5660159;99;5
0.4295119;0.5007163;0.5767678;0.566137;99;5
0.4295546;0.5003443;0.5765916;0.5662684;99;5
0.4296024;0.4999499;0.5764202;0.5664024;99;5
0.4296559;0.499535;0.5762552;0.5665324;99;5
0.4297166;0.4991011;0.5760975;0.5666534;99;5
0.4297847;0.4986498;0.5759481;0.5667616;99;5
0.4298607;0.4981827;0.5758085;0.5668545;99;5
0.4299448;0.4977012;0.5756797;0.5669302;99;5
0.4300366;0.4972062;0.575563;0.5669878;99;5
0.4301358;0.496699;0.5754599;0.5670269;99;5
0.4302409;0.4961804;0.5753713;0.567048;99;5
0.4303506;0.4956514;0.5752989;0.5670518;99;5
0.4304628;0.4951135;0.575244;0.56704;99;5
0.4305754;0.4945682;0.5752082;0.5670138;99;5
0.4306857;0.4940183;0.5751933;0.566975;99;5
0.4307908;0.4934661;0.5752015;0.5669257;99;5
0.4308876;0.4929153;0.5752344;0.5668676;99;5
0.4309737;0.4923699;0.5752953;0.5668023;99;5
0.4310467;0.4918341;0.5753862;0.566732;99;5
0.431105;0.4913119;0.5755095;0.5666575;99;5
0.4311476;0.4908073;0.5756672;0.5665807;99;5
0.4311744;0.4903228;0.5758604;0.5665027;99;5
0.4311862;0.4898595;0.576088;0.5664248;99;5
0.4311846;0.4894158;0.5763483;0.5663478;99;5
0.4311711;0.4889867;0.5766364;0.5662727;99;5
0.4311486;0.4885622;0.5769461;0.5662002;99;5
0.4311201;0.4881277;0.577269;0.5661312;99;5
0.4310905;0.4876646;0.5775958;0.5660667;99;5
0.431067;0.4871517;0.5779183;0.5660074;99;5
0.431064;0.4865715;0.5782284;0.5659544;99;5
0.4311046;0.4859168;0.5785197;0.5659093;99;5
0.4312272;0.4851981;0.5787876;0.5658738;99;5
0.4314846;0.4844474;0.5790288;0.5658507;99;5
0.4319305;0.4840308;0.5792413;0.5658442;99;5
0.4325959;0.4830384;0.5794255;0.5658603;99;5
0.433448;0.4824545;0.5795798;0.5659075;99;5
0.4343946;0.4819644;0.5797051;0.5659972;99;5
0.4353178;0.4815548;0.5798016;0.566143;99;5
0.4361239;0.4812076;0.5798703;0.5663576;99;5
0.4367664;0.480908;0.5799119;0.5666492;99;5
0.437238;0.480648;0.5799279;0.5670162;99;5
0.4375541;0.4804239;0.5799193;0.5674453;99;5
0.4377367;0.4802347;0.5798874;0.5679139;99;5
