resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.506009;0.5317134;0.4292252;0.5448768;15;22
0.5060117;0.5317141;0.4293557;0.5445722;15;22
0.5060129;0.531715;0.4294708;0.5442886;15;22
0.5060126;0.5317159;0.4295712;0.5440238;15;22
0.5060107;0.5317169;0.4296575;0.5437763;15;22
0.5060071;0.531718;0.4297308;0.5435442;15;22
0.5060016;0.5317191;0.4297924;0.5433263;15;22
0.5059942;0.5317203;0.4298438;0.5431209;15;22
0.5059847;0.5317218;0.430065;0.5429271;14;22
0.5719488;0.5956682;0.3834605;0.5437644;15;22
0.5719349;0.5956699;0.3834945;0.5435887;15;22
0.5719189;0.5956714;0.3835287;0.5434211;15;22
0.5719008;0.595673;0.3835658;0.5432606;15;22
0.5718803;0.5956748;0.3836089;0.5431063;15;22
0.5718576;0.5956767;0.3836614;0.542958;15;22
0.5718327;0.5956789;0.3837261;0.5428149;15;22
0.5718058;0.5956812;0.3838057;0.5426771;15;22
0.5717768;0.5956838;0.3839022;0.5425444;15;22
0.5717462;0.5956865;0.3840171;0.5424168;15;22
0.5723882;0.5888202;0.4049019;0.5750951;15;22
0.5716976;0.5959871;0.3936104;0.5421241;15;22
0.5723673;0.5789745;0.4593679;0.6057593;15;22
0.573112;0.6061822;0.4631587;0.5780333;15;22
0.5723904;0.6074231;0.39869;0.5372077;15;22
0.572354;0.6074176;0.398897;0.5371094;15;22
0.5715025;0.5957132;0.3852767;0.5416787;15;22
0.5714667;0.5957183;0.3854968;0.5415979;15;22
0.5714316;0.5957237;0.3857192;0.5415238;15;22
0.5713974;0.5957295;0.3859416;0.5414563;15;22
0.5713642;0.5957357;0.3861622;0.5413959;15;22
0.5713324;0.5957423;0.3863795;0.5413421;15;22
0.5713022;0.5957493;0.3865924;0.5412953;15;22
0.5712737;0.5957566;0.3868002;0.5412553;15;22
0.5712472;0.5957644;0.3870026;0.5412219;15;22
0.5712228;0.5957726;0.3871992;0.5411952;15;22
0.5712006;0.595781;0.3873898;0.5411748;15;22
0.571181;0.5957896;0.3875745;0.5411606;15;22
0.5711639;0.5957983;0.3877531;0.5411524;15;22
0.5711493;0.5958067;0.3879257;0.54115;15;22
0.5711376;0.5958147;0.388092;0.5411532;15;22
0.5711286;0.5957599;0.3901661;0.5411595;15;22
0.5711226;0.5957896;0.3895504;0.5411742;15;22
0.5711195;0.5958335;0.388416;0.5411943;15;22
0.5711192;0.5957894;0.3899486;0.5412166;15;22
0.571122;0.5958236;0.3887608;0.5412466;15;22
0.5711277;0.5958112;0.3889569;0.5412801;15;22
0.5711364;0.5957918;0.3891627;0.5413187;15;22
0.5711483;0.595769;0.3892765;0.541363;15;22
0.5711614;0.5957359;0.3895867;0.5414088;15;22
0.5711811;0.5957083;0.389425;0.541468;15;22
0.571205;0.5956638;0.3895443;0.5415375;15;22
0.5712315;0.5956146;0.3896607;0.5416146;15;22
0.5712626;0.595557;0.3897828;0.5417058;15;22
0.5712984;0.5954896;0.3899154;0.5418157;15;22
0.5713391;0.5954095;0.3900653;0.5419512;15;22
0.5713848;0.5953128;0.390242;0.5421225;15;22
0.5714357;0.5951942;0.3904591;0.5423452;15;22
0.5714909;0.5950464;0.3907369;0.542644;15;22
0.5715497;0.5948594;0.3910973;0.5430658;15;22
0.5716107;0.5946198;0.3915364;0.5437282;15;22
0.5716717;0.5943095;0.3923737;0.5444586;15;22
0.5717303;0.5939046;0.3933684;0.5458128;15;22
0.571784;0.5933743;0.394831;0.5479106;15;22
0.5718311;0.5926803;0.3969032;0.5512903;15;22
0.5718709;0.5917797;0.400013;0.5563783;15;22
0.5719038;0.5906299;0.4042929;0.5637849;15;22
0.5719309;0.5892028;0.4098616;0.5731643;15;22
0.571954;0.5875009;0.4164284;0.5829712;15;22
0.5719746;0.5855733;0.4232785;0.5912588;15;22
0.5719935;0.5835171;0.4295652;0.597094;15;22
0.5720114;0.5814578;0.434726;0.6007395;15;22
0.5720289;0.5795156;0.4386377;0.6028941;15;22
0.5720459;0.5777732;0.4414786;0.6041581;15;22
0.5720624;0.5762602;0.4435291;0.6049168;15;22
0.5720785;0.5749542;0.4450541;0.6053926;15;22
0.5720943;0.5737906;0.4462638;0.6057104;15;22
0.5721096;0.5726734;0.4473099;0.6059421;15;22
0.5721247;0.5714836;0.4482867;0.6061305;15;22
0.5721391;0.5700888;0.4492261;0.606301;15;22
0.5721532;0.568363;0.4500924;0.6064659;15;22
0.5721666;0.5662286;0.4508024;0.6066257;15;22
0.5721796;0.5637244;0.4512823;0.6067716;15;22
0.5721918;0.5610723;0.4515274;0.6068918;15;22
0.572203;0.558674;0.4516024;0.6069796;15;22
0.5722128;0.5569991;0.4515881;0.6070368;15;22
0.5722202;0.556427;0.45154;0.6070709;15;22
0.5722242;0.5571484;0.4514842;0.6070902;15;22
0.5722229;0.5591283;0.4514303;0.6071013;1;22
0.4289214;0.5090815;0.6696249;0.5204833;15;22
0.4288956;0.5125685;0.6696249;0.5204855;15;22
0.4311466;0.516064;0.6695879;0.5204338;15;22
0.4332931;0.5192032;0.6695567;0.5203702;15;22
0.4353931;0.5218226;0.6695308;0.5202949;15;22
0.4374908;0.5239184;0.66951;0.5202075;15;22
0.4396172;0.5255663;0.6694936;0.5201083;15;22
0.441792;0.5268623;0.6694813;0.5199974;15;22
0.4440241;0.5278937;0.6694725;0.5198747;15;22
0.446314;0.5287297;0.6694669;0.5197406;15;22
0.4486548;0.5294226;0.6694641;0.5195956;15;22
0.4510337;0.5300096;0.6694636;0.5194398;15;22
0.4534338;0.5305176;0.6694654;0.5192739;15;22
0.4558354;0.5309652;0.6694689;0.5190985;15;22
0.4582174;0.5313658;0.6694742;0.5189142;15;22
0.4605588;0.5317287;0.6694807;0.5187217;15;22
0.4628401;0.5320609;0.6694885;0.5185217;15;22
0.4650436;0.5323671;0.6694972;0.518315;15;22
0.4671547;0.5326511;0.6695068;0.5181023;15;22
0.4691621;0.5329155;0.669517;0.5178846;15;22
0.4710572;0.5331625;0.6695278;0.5176626;15;22
0.4728742;0.533393;0.6696737;0.5174376;14;22
0.474288;0.5412529;0.6695953;0.4740919;15;22
0.475812;0.5412549;0.6695622;0.473862;15;22
0.4772316;0.5412583;0.6695741;0.4736512;15;22
0.4785376;0.5412621;0.669586;0.4734332;15;22
0.4797347;0.5412664;0.6695979;0.4732088;15;22
0.4808285;0.5412712;0.6696098;0.4729793;15;22
0.481825;0.5412766;0.6696215;0.4727456;15;22
0.4827304;0.5412828;0.6696331;0.4725088;15;22
0.483551;0.5412899;0.6696444;0.47227;14;22
0.5503904;0.541298;0.7359486;0.4721996;15;22
0.5510702;0.5413066;0.735999;0.4719598;15;22
0.5516961;0.541316;0.736096;0.4717211;15;22
0.5521771;0.5413287;0.735906;0.4714837;15;22
0.5526528;0.5413414;0.7358978;0.4712496;15;22
0.5534676;0.5413467;0.7373607;0.4710221;15;22
0.5537961;0.5413628;0.7372223;0.4707966;14;22
0.5542496;0.5414378;0.7376431;0.46346;15;22
0.5545375;0.5414565;0.7376517;0.4632462;15;22
0.5547842;0.5414771;0.7376598;0.4630394;15;22
0.554992;0.5414994;0.7376673;0.4628403;15;22
0.5551625;0.5415238;0.7376745;0.4626497;15;22
0.555297;0.5415501;0.7376812;0.4624682;15;22
0.5553963;0.5415785;0.7376872;0.4622963;15;22
0.5554608;0.5416089;0.7376928;0.4621345;15;22
0.5554906;0.5416414;0.737698;0.4619833;15;22
0.5554851;0.5416759;0.7377027;0.4618432;15;22
0.5554436;0.5417124;0.737707;0.4617145;15;22
0.5553643;0.5417508;0.737711;0.4615976;15;22
0.5552453;0.5417909;0.7377148;0.4614926;15;22
0.5550835;0.5418327;0.7377182;0.4613998;15;22
0.5548753;0.541876;0.7377216;0.4613191;15;22
0.5546159;0.5419205;0.737725;0.4612507;14;22
0.5519068;0.6085518;0.7181947;0.459223;15;22
0.5515261;0.6085979;0.7181982;0.4591785;15;22
0.5510721;0.6086445;0.7182022;0.4591455;15;22
0.5505339;0.6086912;0.7182066;0.4591237;15;22
0.5498981;0.6087376;0.7182119;0.4591123;15;22
0.5491489;0.6087832;0.7182182;0.4591105;15;22
0.5482673;0.6088278;0.7182261;0.4591176;15;22
0.5472308;0.6088712;0.7182356;0.4591323;14;22
0.4799797;0.6708562;0.7182474;0.4365039;15;22
0.4785531;0.6708957;0.7182623;0.4365301;15;22
0.4768861;0.6709362;0.7182809;0.4365716;15;22
0.4749475;0.6709739;0.7183044;0.4366151;15;22
0.472709;0.6710088;0.7183338;0.436659;15;22
0.4701513;0.6710403;0.7183707;0.4367016;15;22
0.4672698;0.6710686;0.718417;0.4367409;15;22
0.4640839;0.6710929;0.718475;0.4367757;15;22
0.4606436;0.6711132;0.7185476;0.4368046;15;22
0.4570346;0.6711291;0.7186379;0.4368266;15;22
0.4533757;0.6711401;0.7187501;0.4368414;15;22
0.4498083;0.671146;0.7188884;0.4368489;15;22
0.4464787;0.671146;0.7190577;0.43685;15;22
0.443517;0.6711397;0.7192632;0.4368461;15;22
0.4410207;0.6711261;0.7195097;0.4368391;15;22
0.4390462;0.6711044;0.7198012;0.4368317;15;22
0.4376107;0.6710741;0.7201407;0.436827;15;22
0.4367011;0.6710341;0.720529;0.4368283;15;22
0.4362849;0.6709837;0.7209641;0.436839;15;22
0.4363203;0.6709223;0.7214399;0.4368623;15;22
0.4367625;0.6708495;0.7219476;0.436901;15;22
0.4375663;0.6707652;0.7224748;0.4369574;15;22
0.4386856;0.6706697;0.7230071;0.4370333;15;22
0.4400726;0.6705637;0.7235288;0.4371291;15;22
0.4416753;0.6704482;0.7240256;0.4372453;15;22
0.4434376;0.6703247;0.7244858;0.4373811;15;22
0.4453005;0.6701949;0.7249005;0.4375354;15;22
0.447205;0.6700609;0.7252655;0.4377066;15;22
0.4490957;0.6699243;0.7255797;0.4378927;15;22
