resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.4119059;0.6351266;0.5072779;0.5519621;25;0
0.4110977;0.6352391;0.507313;0.5520498;25;0
0.4103234;0.6353401;0.5073517;0.5521438;25;0
0.4095781;0.6354297;0.5073946;0.5522433;25;0
0.4088573;0.6355081;0.5074418;0.5523478;25;0
0.4081566;0.635575;0.5074937;0.5524567;25;0
0.4074711;0.6356303;0.5075508;0.5525694;25;0
0.4067959;0.6356739;0.5076137;0.5526856;25;0
0.4061262;0.6357055;0.5076829;0.5528042;25;0
0.4054566;0.6357243;0.5077592;0.5529252;25;0
0.4047818;0.6357297;0.5078434;0.5530475;25;0
0.4040956;0.635721;0.5079365;0.553171;25;0
0.4033918;0.6356969;0.5080398;0.553295;25;0
0.4026631;0.6356562;0.5081548;0.5534189;25;0
0.4019014;0.6355972;0.5082831;0.5535425;25;0
0.4010976;0.6355181;0.5084271;0.5536652;25;0
0.4002413;0.6354164;0.508589;0.5537865;25;0
0.3993204;0.6352894;0.5087721;0.5539063;25;0
0.3983212;0.6351342;0.5089797;0.5540241;25;0
0.3972279;0.6349468;0.5092166;0.5541397;25;0
0.3960229;0.6347229;0.5094879;0.5542526;25;0
0.3946868;0.6344578;0.5097999;0.5543628;25;0
0.3931994;0.6341458;0.5101602;0.5544699;25;0
0.3915408;0.633781;0.5105776;0.554574;25;0
0.389694;0.6333568;0.5110623;0.5546746;25;0
0.3876491;0.6328666;0.511626;0.5547718;25;0
0.3854073;0.6323038;0.5122815;0.5548656;25;0
0.3829863;0.6316624;0.5130422;0.5549558;25;0
0.3804246;0.6309378;0.5139211;0.5550423;25;0
0.3777821;0.6301278;0.5149294;0.5551251;25;0
0.375136;0.6292331;0.5160744;0.5552042;25;0
0.3725706;0.6282589;0.5173571;0.5552797;25;0
0.3701645;0.6272152;0.5187694;0.5553513;25;0
0.3679779;0.6261165;0.5202932;0.5554194;25;0
0.3660454;0.6249823;0.521899;0.5554838;25;0
0.3643745;0.6238353;0.5235484;0.5555445;25;0
0.3629523;0.6226997;0.5251975;0.5556017;25;0
0.3617516;0.621599;0.5268019;0.5556551;25;0
0.3607396;0.6205544;0.5283213;0.5557048;25;0
0.3598834;0.619583;0.5297242;0.5557509;25;0
0.3591532;0.6186963;0.5309889;0.5557933;25;0
0.3585241;0.6179017;0.5321043;0.5558317;25;0
0.3579761;0.6172012;0.5330678;0.5558661;25;0
0.3574935;0.6165937;0.5338835;0.5558962;25;0
0.3570645;0.6160749;0.53456;0.5559218;25;0
0.3566799;0.6156391;0.5351084;0.5559424;25;0
0.356333;0.6152793;0.5355405;0.5559574;25;0
0.3560183;0.6149881;0.5358683;0.5559664;25;0
0.3557317;0.6147585;0.5361028;0.5559681;25;0
0.3554698;0.6145838;0.5362543;0.5559619;25;0
0.3552298;0.6144572;0.536332;0.5559464;25;0
0.3550088;0.6143733;0.5363439;0.55592;25;0
0.3548046;0.6143266;0.5362976;0.5558811;25;0
